NAME,MS_FB_PARE,MS_FB,WIKIDATA,CODE
Eleme/Tai/Oyigbo,country:ng/state:ri,country:ng/state:ri/federal-constituency:322,Q59681489,FC/322/RV
Binji/Silame,country:ng/state:so,country:ng/state:so/federal-constituency:334,Q59681507,FC/334/SO
Dange Shuni/Bodinga/Tureta,country:ng/state:so,country:ng/state:so/federal-constituency:337,Q59681511,FC/337/SO
Goronyo/Gada,country:ng/state:so,country:ng/state:so/federal-constituency:330,Q59681502,FC/330/SO
Tangaza/Gudu,country:ng/state:so,country:ng/state:so/federal-constituency:333,Q59681506,FC/333/SO
Illela/Gwadabawa,country:ng/state:so,country:ng/state:so/federal-constituency:332,Q59681505,FC/332/SO
Isa/Sabon Birni,country:ng/state:so,country:ng/state:so/federal-constituency:329,Q59681501,FC/329/SO
Kebbe/Tambuwal,country:ng/state:so,country:ng/state:so/federal-constituency:339,Q59681514,FC/339/SO
Damboa/Gwoza/Chibok,country:ng/state:bo,country:ng/state:bo/federal-constituency:070,Q59681043,FC/070/BO
Askiraâ€“Uba/Hawul,country:ng/state:bo,country:ng/state:bo/federal-constituency:066,Q59681039,FC/066/BO
Jere,country:ng/state:bo,country:ng/state:bo/federal-constituency:075,Q59681054,FC/075/BO
Kaga/Gubio/Magumeri,country:ng/state:bo,country:ng/state:bo/federal-constituency:071,Q59681044,FC/071/BO
Bama/Ngala/Kalabalge,country:ng/state:bo,country:ng/state:bo/federal-constituency:067,Q59681040,FC/067/BO
Dikwa/Mafa/Konduga,country:ng/state:bo,country:ng/state:bo/federal-constituency:069,Q59681042,FC/069/BO
Kukawa/Mobbar/Abadam/Guzamala,country:ng/state:bo,country:ng/state:bo/federal-constituency:073,Q59681052,FC/073/BO
Biu/Shani/Kwayakusar/ Bayo,country:ng/state:bo,country:ng/state:bo/federal-constituency:068,Q59681041,FC/068/BO
Maiduguri Metro. Council,country:ng/state:bo,country:ng/state:bo/federal-constituency:074,Q59681053,FC/074/BO
Esan N-East/Esan S-East,country:ng/state:ed,country:ng/state:ed/federal-constituency:102,Q59681097,FC/102/ED
Ibadan N. East/Ibadan S.East,country:ng/state:oy,country:ng/state:oy/federal-constituency:305,Q59681463,FC/305/OY
Esan Central/Esan West/Igueben,country:ng/state:ed,country:ng/state:ed/federal-constituency:101,Q59681096,FC/101/ED
Etsako East/Etsako West/Central,country:ng/state:ed,country:ng/state:ed/federal-constituency:103,Q59681098,FC/103/ED
Egor/Ikpoba Okha,country:ng/state:ed,country:ng/state:ed/federal-constituency:104,Q59681099,FC/104/ED
Oredo,country:ng/state:ed,country:ng/state:ed/federal-constituency:105,Q59681100,FC/105/ED
Orhionmwon/Uhunmwode,country:ng/state:ed,country:ng/state:ed/federal-constituency:049,Q59681101,FC/049/BA
Aba North/Aba South,country:ng/state:ab,country:ng/state:ab/federal-constituency:001,Q59680913,FC/001/AB
Arochukwu/Ohafia,country:ng/state:ab,country:ng/state:ab/federal-constituency:002,Q59680914,FC/002/AB
Bende,country:ng/state:ab,country:ng/state:ab/federal-constituency:003,Q59680915,FC/003/AB
Umuahia North/ South/Ikwuano,country:ng/state:ab,country:ng/state:ab/federal-constituency:007,Q59680920,FC/007/AB
Isiala Ngwa North /Isiala Ngwa South,country:ng/state:ab,country:ng/state:ab/federal-constituency:004,Q59680916,FC/004/AB
Aniocha North/South/Oshimili North /South,country:ng/state:de,country:ng/state:de/federal-constituency:084,Q59681069,FC/084/DT
Isuikwuato/Umunneochi,country:ng/state:ab,country:ng/state:ab/federal-constituency:005,Q59680917,FC/005/AB
Obingwa/Ugwunagbo/Osisioma,country:ng/state:ab,country:ng/state:ab/federal-constituency:006,Q59680919,FC/006/AB
Ukwa East/West,country:ng/state:ab,country:ng/state:ab/federal-constituency:008,Q59680921,FC/008/AB
Demsa/Numan/Lamurde,country:ng/state:ad,country:ng/state:ad/federal-constituency:009,Q59680922,FC/009/AD
Fufore/Song,country:ng/state:ad,country:ng/state:ad/federal-constituency:010,Q59680934,FC/010/AD
Mayo-Belwa /Ganye/Jada/ Toungo,country:ng/state:ad,country:ng/state:ad/federal-constituency:011,Q59680935,FC/011/AD
Yola North/Yola South/Girei,country:ng/state:ad,country:ng/state:ad/federal-constituency:016,Q59680943,FC/016/AD
Gombi/Hong,country:ng/state:ad,country:ng/state:ad/federal-constituency:012,Q59680936,FC/012/AD
Shelleng/Guyuk,country:ng/state:ad,country:ng/state:ad/federal-constituency:013,Q59680938,FC/013/AD
Madagali/Michika,country:ng/state:ad,country:ng/state:ad/federal-constituency:014,Q59680939,FC/014/AD
Maiha/Mubi North/Mubi South,country:ng/state:ad,country:ng/state:ad/federal-constituency:015,Q59680940,FC/015/AD
Abak/Etim Ekpo/Ika,country:ng/state:ak,country:ng/state:ak/federal-constituency:017,Q59680974,FC/017/AK
Ikot Abasi/ Mkpat Enin/ Eastern Obolo,country:ng/state:ak,country:ng/state:ak/federal-constituency:021,Q59680979,FC/021/AK
Eket/Onna/Esit Eket/Ibeno,country:ng/state:ak,country:ng/state:ak/federal-constituency:018,Q59680976,FC/018/AK
Ikot Ekpene/ Essien Udim/ Obot Akara,country:ng/state:ak,country:ng/state:ak/federal-constituency:022,Q59680981,FC/022/AK
Etinan/Nsit Ibom/Nsit Ubium,country:ng/state:ak,country:ng/state:ak/federal-constituency:019,Q59680977,FC/019/AK
Uyo/Uruan/Nsit Atai/ Ibesikpo Asutan,country:ng/state:ak,country:ng/state:ak/federal-constituency:026,Q59680992,FC/026/AK
Itu/Ibiono Ibom,country:ng/state:ak,country:ng/state:ak/federal-constituency:023,Q59680982,FC/023/AK
Ikono/Ini,country:ng/state:ak,country:ng/state:ak/federal-constituency:020,Q59680978,FC/020/AK
Oron/Mbo/Okobo/Udu ng Uko/Urue Offong Oruko,country:ng/state:ak,country:ng/state:ak/federal-constituency:024,Q59680983,FC/024/AK
Ukanafun/ Oruk Anam,country:ng/state:ak,country:ng/state:ak/federal-constituency:025,Q59680985,FC/025/AK
Aguata,country:ng/state:an,country:ng/state:an/federal-constituency:030,Q59680959,FC/030/AN
Anambra East/West,country:ng/state:an,country:ng/state:an/federal-constituency:027,Q59680945,FC/027/AN
Ibadan S. West/Ibadan North West,country:ng/state:oy,country:ng/state:oy/federal-constituency:306,Q59681464,FC/306/OY
Njikoka/Dunukofia/A naocha,country:ng/state:an,country:ng/state:an/federal-constituency:033,Q59680963,FC/033/AN
Awka North/South,country:ng/state:an,country:ng/state:an/federal-constituency:032,Q59680961,FC/032/AN
Oyi/Ayamelum,country:ng/state:an,country:ng/state:an/federal-constituency:031,Q59680960,FC/031/AN
Nnewi North/South /Ekwusigo,country:ng/state:an,country:ng/state:an/federal-constituency:036,Q59680966,FC/036/AN
Idemili North/ South,country:ng/state:an,country:ng/state:an/federal-constituency:034,Q59680964,FC/034/AN
Ihiala,country:ng/state:an,country:ng/state:an/federal-constituency:035,Q59680965,FC/035/AN
Ogbaru,country:ng/state:an,country:ng/state:an/federal-constituency:029,Q59680955,FC/029/AN
Onitsha North/South,country:ng/state:an,country:ng/state:an/federal-constituency:028,Q59680946,FC/028/AN
Orumba North/ South,country:ng/state:an,country:ng/state:an/federal-constituency:037,Q59680969,FC/037/AN
Alkaleri/Kirfi,country:ng/state:ba,country:ng/state:ba/federal-constituency:038,Q59680994,FC/038/BA
Bauchi,country:ng/state:ba,country:ng/state:ba/federal-constituency:039,Q59680995,FC/039/BA
Bogoro/Dass/T-Balewa,country:ng/state:ba,country:ng/state:ba/federal-constituency:040,Q59680996,FC/040/BA
Misau/Danbam,country:ng/state:ba,country:ng/state:ba/federal-constituency:044,Q59681001,FC/044/BA
Darazo/Ganjuwa,country:ng/state:ba,country:ng/state:ba/federal-constituency:043,Q59681000,FC/043/BA
Gamawa,country:ng/state:ba,country:ng/state:ba/federal-constituency:046,Q59681008,FC/046/BA
Shira/Giade,country:ng/state:ba,country:ng/state:ba/federal-constituency:048,Q59681010,FC/048/BA
Jama'are/Itas Gadau,country:ng/state:ba,country:ng/state:ba/federal-constituency:047,Q59681009,FC/047/BA
Katagum,country:ng/state:ba,country:ng/state:ba/federal-constituency:049,Q59681011,FC/049/BA
Ningi/Warji,country:ng/state:ba,country:ng/state:ba/federal-constituency:042,Q59680999,FC/042/BA
Toro,country:ng/state:ba,country:ng/state:ba/federal-constituency:041,Q59680997,FC/041/BA
Zaki,country:ng/state:ba,country:ng/state:ba/federal-constituency:045,Q59681002,FC/045/BA
Brass/Nembe,country:ng/state:by,country:ng/state:by/federal-constituency:050,Q59681012,FC/050/BY
Sagbama/Ekeremor,country:ng/state:by,country:ng/state:by/federal-constituency:052,Q59681015,FC/052/BY
Kolokuma/Opokuma/Yenagoa,country:ng/state:by,country:ng/state:by/federal-constituency:054,Q59681017,FC/054/BY
Ogbia,country:ng/state:by,country:ng/state:by/federal-constituency:051,Q59681013,FC/051/BY
Southern Ijaw,country:ng/state:by,country:ng/state:by/federal-constituency:053,Q59681016,FC/053/BY
Ado/Obadigbo/Okpokwu,country:ng/state:be,country:ng/state:be/federal-constituency:055,Q59681023,FC/055/BN
Apa/Agatu,country:ng/state:be,country:ng/state:be/federal-constituency:056,Q59681026,FC/056/BN
Apapa,country:ng/state:la,country:ng/state:la/federal-constituency:235,Q59681329,FC/235/LA
Buruku,country:ng/state:be,country:ng/state:be/federal-constituency:057,Q59681027,FC/057/BN
Gboko/Tarka,country:ng/state:be,country:ng/state:be/federal-constituency:058,Q59681028,FC/058/BN
Guma/Makurdi,country:ng/state:be,country:ng/state:be/federal-constituency:059,Q59681029,FC/059/BN
Gwer-East/Gwer-West,country:ng/state:be,country:ng/state:be/federal-constituency:060,Q59681030,FC/060/BN
Katsina-Ala/Ukum/Logo,country:ng/state:be,country:ng/state:be/federal-constituency:061,Q59681031,FC/061/BN
Konshisha/Vandeikya,country:ng/state:be,country:ng/state:be/federal-constituency:062,Q59681032,FC/062/BN
Kwande/Ushongo,country:ng/state:be,country:ng/state:be/federal-constituency:063,Q59681033,FC/063/BN
Lafia/Obi,country:ng/state:na,country:ng/state:na/federal-constituency:255,Q59681367,FC/255/NW
Otukpo/Ohimini,country:ng/state:be,country:ng/state:be/federal-constituency:065,Q59681038,FC/065/BN
Oju/Obi,country:ng/state:be,country:ng/state:be/federal-constituency:064,Q59681037,FC/064/BN
Monguno/Ngazai/Marte,country:ng/state:bo,country:ng/state:bo/federal-constituency:072,Q59681046,FC/072/BO
Yakurr/Abi,country:ng/state:cr,country:ng/state:cr/federal-constituency:076,Q59681055,FC/076/CR
Akamkpa/Biase,country:ng/state:cr,country:ng/state:cr/federal-constituency:077,Q59681056,FC/077/CR
Calabar South/Akpabuyo/Bakassi,country:ng/state:cr,country:ng/state:cr/federal-constituency:079,Q59681058,FC/079/CR
Obanliku/Obudu/Bekwarra,country:ng/state:cr,country:ng/state:cr/federal-constituency:081,Q59681060,FC/081/CR
Boki/Ikom,country:ng/state:cr,country:ng/state:cr/federal-constituency:078,Q59681057,FC/078/CR
Calabar Municipality/Odukpani,country:ng/state:cr,country:ng/state:cr/federal-constituency:080,Q59681059,FC/080/CR
Obubra/Etung,country:ng/state:cr,country:ng/state:cr/federal-constituency:082,Q59681067,FC/082/CR
Ogoja/Yala,country:ng/state:cr,country:ng/state:cr/federal-constituency:083,Q59681068,FC/083/CR
Bomadi/Patani,country:ng/state:de,country:ng/state:de/federal-constituency:085,Q59681070,FC/085/DT
Burutu,country:ng/state:de,country:ng/state:de/federal-constituency:091,Q59681080,FC/091/DT
Ethiope East/Ethiope West,country:ng/state:de,country:ng/state:de/federal-constituency:086,Q59681071,FC/086/DT
Ika North East/Ika South,country:ng/state:de,country:ng/state:de/federal-constituency:087,Q59681073,FC/087/DT
Isoko North/Isoko South,country:ng/state:de,country:ng/state:de/federal-constituency:088,Q59681074,FC/088/DT
Ndokwa East/Ndokwa West/Ukwuani,country:ng/state:de,country:ng/state:de/federal-constituency:089,Q59681075,FC/089/DT
Okpe/Sapele/Uvwie,country:ng/state:de,country:ng/state:de/federal-constituency:090,Q59681076,FC/090/DT
Ughelli North/Ughelli South/Udu,country:ng/state:de,country:ng/state:de/federal-constituency:092,Q59681081,FC/092/DT
Warri North/Warri South/Warri South West,country:ng/state:de,country:ng/state:de/federal-constituency:093,Q59681082,FC/093/DT
Abakaliki / Izzi,country:ng/state:eb,country:ng/state:eb/federal-constituency:095,Q59681084,FC/095/EB
Afikpo North /Afikpo South,country:ng/state:eb,country:ng/state:eb/federal-constituency:099,Q59681091,FC/099/EB
Ebonyi / Ohaukwu,country:ng/state:eb,country:ng/state:eb/federal-constituency:094,Q59681083,FC/094/EB
Ezza North / Ishielu,country:ng/state:eb,country:ng/state:eb/federal-constituency:096,Q59681087,FC/096/EB
Ezza South / Ikwo,country:ng/state:eb,country:ng/state:eb/federal-constituency:097,Q59681088,FC/097/EB
Ivo/Ohaozara /Onicha,country:ng/state:eb,country:ng/state:eb/federal-constituency:098,Q59681089,FC/098/EB
Akoko Edo,country:ng/state:ed,country:ng/state:ed/federal-constituency:100,Q59681094,FC/100/ED
Ovia N-East/Ovia S-West,country:ng/state:ed,country:ng/state:ed/federal-constituency:107,Q59681102,FC/107/ED
Owan East/Owan West,country:ng/state:ed,country:ng/state:ed/federal-constituency:108,Q59681103,FC/108/ED
Ado Ekiti/Irepodun/Ifelodun,country:ng/state:ek,country:ng/state:ek/federal-constituency:109,Q59681106,FC/109/EK
Ijero/Ekiti West/Efon,country:ng/state:ek,country:ng/state:ek/federal-constituency:113,Q59681113,FC/113/EK
Emure/Gbonyin/Ekiti East,country:ng/state:ek,country:ng/state:ek/federal-constituency:111,Q59681109,FC/111/EK
Ekiti South West/Ikere/Ise/ Orun,country:ng/state:ek,country:ng/state:ek/federal-constituency:110,Q59681107,FC/110/EK
Ido/Osi/Moba/Ilejemeje,country:ng/state:ek,country:ng/state:ek/federal-constituency:112,Q59681110,FC/112/EK
Ikole/Oye,country:ng/state:ek,country:ng/state:ek/federal-constituency:114,Q59681114,FC/114/EK
Aninri/Awgu/Oji River,country:ng/state:en,country:ng/state:en/federal-constituency:115,Q59681115,FC/115/EN
Enugu East/Isi-Uzo,country:ng/state:en,country:ng/state:en/federal-constituency:116,Q59681116,FC/116/EN
Enugu North/Enugu South,country:ng/state:en,country:ng/state:en/federal-constituency:117,Q59681117,FC/117/EN
Ezeagu/ Udi,country:ng/state:en,country:ng/state:en/federal-constituency:118,Q59681121,FC/118/EN
Igbo Etiti/Uzo-Uwani,country:ng/state:en,country:ng/state:en/federal-constituency:119,Q59681122,FC/119/EN
Igbo-Eze North/Udenu,country:ng/state:en,country:ng/state:en/federal-constituency:120,Q59681125,FC/120/EN
Nsukka/Igbo-Eze South,country:ng/state:en,country:ng/state:en/federal-constituency:122,Q59681129,FC/122/EN
Nkanu East /NKanu West,country:ng/state:en,country:ng/state:en/federal-constituency:121,Q59681128,FC/121/EN
Abaji/Kwali/Gwagwalada/Kuje,country:ng/capital-territory:fc,country:ng/capital-territory:fc/federal-constituency:359,Q59681548,FC/359/FCT
AMAC/Bwari,country:ng/capital-territory:fc,country:ng/capital-territory:fc/federal-constituency:360,Q59681549,FC/360/FCT
Akko,country:ng/state:go,country:ng/state:go/federal-constituency:123,Q59681130,FC/123/GM
Balanga/Billiri,country:ng/state:go,country:ng/state:go/federal-constituency:125,Q59681132,FC/125/GM
Dukku/Nafada,country:ng/state:go,country:ng/state:go/federal-constituency:128,Q59681139,FC/128/GM
Gombe/Kwami/Funakaye,country:ng/state:go,country:ng/state:go/federal-constituency:127,Q59681138,FC/127/GM
Kaltungo/Shongom,country:ng/state:go,country:ng/state:go/federal-constituency:126,Q59681133,FC/126/GM
Yamaltu/Deba,country:ng/state:go,country:ng/state:go/federal-constituency:124,Q59681131,FC/124/GM
Aboh Mbaise/Ngor Okpala,country:ng/state:im,country:ng/state:im/federal-constituency:135,Q59681148,FC/135/IM
Ahiazu Mbaise/Ezinihitte,country:ng/state:im,country:ng/state:im/federal-constituency:136,Q59681152,FC/136/IM
Ehime Mbano/Ihitte Uboma/Obowo,country:ng/state:im,country:ng/state:im/federal-constituency:129,Q59681141,FC/129/IM
Ideato North/Ideato South,country:ng/state:im,country:ng/state:im/federal-constituency:131,Q59681144,FC/131/IM
Ikeduru/Mbaitoli,country:ng/state:im,country:ng/state:im/federal-constituency:137,Q59681154,FC/137/IM
Isiala Mbano/Okigwe/Onuimo,country:ng/state:im,country:ng/state:im/federal-constituency:130,Q59681143,FC/130/IM
Isu/Njaba/ Nkwerre/Nwangele,country:ng/state:im,country:ng/state:im/federal-constituency:132,Q59681145,FC/132/IM
Oguta/Ohaji-Egbema/Oru West,country:ng/state:im,country:ng/state:im/federal-constituency:133,Q59681146,FC/133/IM
Oru East/Orsu/Orlu,country:ng/state:im,country:ng/state:im/federal-constituency:134,Q59681147,FC/134/IM
Owerri Mun./Owerri North/Owerri West,country:ng/state:im,country:ng/state:im/federal-constituency:138,Q59681155,FC/138/IM
Hadejia/Kafin-Hausa/Auyo,country:ng/state:ji,country:ng/state:ji/federal-constituency:145,Q59681169,FC/145/JG
Babura/Garki,country:ng/state:ji,country:ng/state:ji/federal-constituency:139,Q59681157,FC/139/JG
Birniwa/Guri/KiriKasamma,country:ng/state:ji,country:ng/state:ji/federal-constituency:141,Q59681160,FC/141/JG
Birnin-Kudu/Buji,country:ng/state:ji,country:ng/state:ji/federal-constituency:140,Q59681158,FC/140/JG
Dutse/Kiyawa,country:ng/state:ji,country:ng/state:ji/federal-constituency:142,Q59681161,FC/142/JG
Gumel/Maigatari/Sule-Tan-karkar/Gagarawa,country:ng/state:ji,country:ng/state:ji/federal-constituency:144,Q59681165,FC/144/JG
Gwaram,country:ng/state:ji,country:ng/state:ji/federal-constituency:143,Q59681163,FC/143/JG
Kazaure/Roni/ Gwiwa/Yankwashi,country:ng/state:ji,country:ng/state:ji/federal-constituency:148,Q59681174,FC/148/JG
Jahun/Miga,country:ng/state:ji,country:ng/state:ji/federal-constituency:146,Q59681170,FC/146/JG
Mallam-Madori/Kaugama,country:ng/state:ji,country:ng/state:ji/federal-constituency:147,Q59681171,FC/147/JG
Ringim/Taura,country:ng/state:ji,country:ng/state:ji/federal-constituency:149,Q59681175,FC/149/JG
Birnin Gwari/Giwa,country:ng/state:kd,country:ng/state:kd/federal-constituency:160,Q59681191,FC/160/KD
Chikun/Kajuru,country:ng/state:kd,country:ng/state:kd/federal-constituency:158,Q59681189,FC/158/KD
Igabi,country:ng/state:kd,country:ng/state:kd/federal-constituency:153,Q59681179,FC/153/KD
Ikara/Kubau,country:ng/state:kd,country:ng/state:kd/federal-constituency:154,Q59681183,FC/154/KD
Zangon Kataf/Jaba,country:ng/state:kd,country:ng/state:kd/federal-constituency:165,Q59681202,FC/165/KD
Jema'a/Sanga,country:ng/state:kd,country:ng/state:kd/federal-constituency:159,Q59681190,FC/159/KD
Kachia/Kagarko,country:ng/state:kd,country:ng/state:kd/federal-constituency:157,Q59681188,FC/157/KD
Kaduna North,country:ng/state:kd,country:ng/state:kd/federal-constituency:150,Q59681176,FC/150/KD
Kaduna South,country:ng/state:kd,country:ng/state:kd/federal-constituency:162,Q59681194,FC/162/KD
Kaura,country:ng/state:kd,country:ng/state:kd/federal-constituency:163,Q59681199,FC/163/KD
Kauru,country:ng/state:kd,country:ng/state:kd/federal-constituency:164,Q59681200,FC/164/KD
Makarfi/Kudan,country:ng/state:kd,country:ng/state:kd/federal-constituency:155,Q59681184,FC/155/KD
Lere,country:ng/state:kd,country:ng/state:kd/federal-constituency:156,Q59681186,FC/156/KD
Sabon Gari,country:ng/state:kd,country:ng/state:kd/federal-constituency:161,Q59681192,FC/161/KD
Soba,country:ng/state:kd,country:ng/state:kd/federal-constituency:152,Q59681178,FC/152/KD
