NAME,MS_FB_PARE,MS_FB,NAME_EN,WIKIDATA
Rivers East,country:ng/state:ri,country:ng/state:ri/senate-district:rivers-east,Rivers East,Q25044161
Rivers South East,country:ng/state:ri,country:ng/state:ri/senate-district:rivers-south-east,Rivers South-East,Q25044132
Sokoto North,country:ng/state:so,country:ng/state:so/senate-district:sokoto-north,Sokoto North,Q59678452
Sokoto South,country:ng/state:so,country:ng/state:so/senate-district:sokoto-south,Sokoto South,Q59678453
Sokoto East,country:ng/state:so,country:ng/state:so/senate-district:sokoto-east,Sokoto East,Q59678451
Borno South,country:ng/state:bo,country:ng/state:bo/senate-district:borno-south,Borno South,Q59678346
Borno Central,country:ng/state:bo,country:ng/state:bo/senate-district:borno-central,Borno Central,Q59678345
Borno North,country:ng/state:bo,country:ng/state:bo/senate-district:borno-north,Borno North,Q59678344
Edo Central,country:ng/state:ed,country:ng/state:ed/senate-district:edo-central,Edo Central,Q59678367
Edo North,country:ng/state:ed,country:ng/state:ed/senate-district:edo-north,Edo North,Q59678370
Edo South,country:ng/state:ed,country:ng/state:ed/senate-district:edo-south,Edo South,Q59678371
Abia South,country:ng/state:ab,country:ng/state:ab/senate-district:abia-south,Abia South,Q59678315
Abia North,country:ng/state:ab,country:ng/state:ab/senate-district:abia-north,Abia North,Q59678313
Abia Central,country:ng/state:ab,country:ng/state:ab/senate-district:abia-central,Abia Central,Q59678314
Adamawa South,country:ng/state:ad,country:ng/state:ad/senate-district:adamawa-south,Adamawa South,Q59678318
Adamawa Central,country:ng/state:ad,country:ng/state:ad/senate-district:adamawa-central,Adamawa Central,Q59678319
Adamawa North,country:ng/state:ad,country:ng/state:ad/senate-district:adamawa-north,Adamawa North,Q59678317
Akwa Ibom North - West,country:ng/state:ak,country:ng/state:ak/senate-district:akwa-ibom-north-west,Akwa Ibom North-West,Q59678321
Akwa Ibom South,country:ng/state:ak,country:ng/state:ak/senate-district:akwa-ibom-south,Akwa Ibom South,Q59678323
Akwa Ibom North- East,country:ng/state:ak,country:ng/state:ak/senate-district:akwa-ibom-north-east,Akwa Ibom North-East,Q59678320
Anambra South,country:ng/state:an,country:ng/state:an/senate-district:anambra-south,Anambra South,Q59678328
Anambra North,country:ng/state:an,country:ng/state:an/senate-district:anambra-north,Anambra North,Q59678326
Anambra Central,country:ng/state:an,country:ng/state:an/senate-district:anambra-central,Anambra Central,Q59678327
Bauchi South,country:ng/state:ba,country:ng/state:ba/senate-district:bauchi-south,Bauchi South,Q59678329
Bauchi Central,country:ng/state:ba,country:ng/state:ba/senate-district:bauchi-central,Bauchi Central,Q59678330
Bauchi North,country:ng/state:ba,country:ng/state:ba/senate-district:bauchi-north,Bauchi North,Q59678331
Bayelsa East,country:ng/state:by,country:ng/state:by/senate-district:bayelsa-east,Bayelsa East,Q59678332
Bayelsa West,country:ng/state:by,country:ng/state:by/senate-district:bayelsa-west,Bayelsa West,Q59678335
Bayelsa Central,country:ng/state:by,country:ng/state:by/senate-district:bayelsa-central,Bayelsa Central,Q59678333
Benue South,country:ng/state:be,country:ng/state:be/senate-district:benue-south,Benue South,Q59678343
Benue North-West,country:ng/state:be,country:ng/state:be/senate-district:benue-north-west,Benue North-West,Q59678342
Benue North-East,country:ng/state:be,country:ng/state:be/senate-district:benue-north-east,Benue North-East,Q59678340
Cross River Central,country:ng/state:cr,country:ng/state:cr/senate-district:cross-river-central,Cross River Central,Q59678348
Cross River South,country:ng/state:cr,country:ng/state:cr/senate-district:cross-river-south,Cross River South,Q59678349
Cross River North,country:ng/state:cr,country:ng/state:cr/senate-district:cross-river-north,Cross River North,Q59678347
Delta North,country:ng/state:de,country:ng/state:de/senate-district:delta-north,Delta North,Q59678357
Delta South,country:ng/state:de,country:ng/state:de/senate-district:delta-south,Delta South,Q59678359
Delta Central,country:ng/state:de,country:ng/state:de/senate-district:delta-central,Delta Central,Q59678354
Ebonyi North,country:ng/state:eb,country:ng/state:eb/senate-district:ebonyi-north,Ebonyi North,Q59678361
Ebonyi South,country:ng/state:eb,country:ng/state:eb/senate-district:ebonyi-south,Ebonyi South,Q59678365
Ebonyi Central,country:ng/state:eb,country:ng/state:eb/senate-district:ebonyi-central,Ebonyi Central,Q59678363
Ekiti Central,country:ng/state:ek,country:ng/state:ek/senate-district:ekiti-central,Ekiti Central,Q59678375
Ekiti South,country:ng/state:ek,country:ng/state:ek/senate-district:ekiti-south,Ekiti South,Q59678376
Ekiti North,country:ng/state:ek,country:ng/state:ek/senate-district:ekiti-north,Ekiti North,Q59678374
Enugu West,country:ng/state:en,country:ng/state:en/senate-district:enugu-west,Enugu West,Q59678378
Enugu East,country:ng/state:en,country:ng/state:en/senate-district:enugu-east,Enugu East,Q59678377
Enugu North,country:ng/state:en,country:ng/state:en/senate-district:enugu-north,Enugu North,Q59678379
FCT Senatorial District,country:ng/capital-territory:fc,country:ng/capital-territory:fc/senate-district:fct-senatorial-district,FCT Senatorial District,Q59678469
Gombe Central,country:ng/state:go,country:ng/state:go/senate-district:gombe-central,Gombe Central,Q59678381
Gombe South,country:ng/state:go,country:ng/state:go/senate-district:gombe-south,Gombe South,Q59678382
Gombe North,country:ng/state:go,country:ng/state:go/senate-district:gombe-north,Gombe North,Q59678383
Imo East,country:ng/state:im,country:ng/state:im/senate-district:imo-east,Imo East,Q59678385
Imo North,country:ng/state:im,country:ng/state:im/senate-district:imo-north,Imo North,Q59678388
Imo West,country:ng/state:im,country:ng/state:im/senate-district:imo-west,Imo West,Q59678386
Jigawa North- East,country:ng/state:ji,country:ng/state:ji/senate-district:jigawa-north-east,Jigawa North-East,Q59678390
Jigawa North- W,country:ng/state:ji,country:ng/state:ji/senate-district:jigawa-north-west,Jigawa North-West,Q59678391
Jigawa S-West,country:ng/state:ji,country:ng/state:ji/senate-district:jigawa-south-west,Jigawa South-West,Q59678389
Kaduna Central,country:ng/state:kd,country:ng/state:kd/senate-district:kaduna-central,Kaduna Central,Q59678394
Kaduna North,country:ng/state:kd,country:ng/state:kd/senate-district:kaduna-north,Kaduna North,Q59678392
Kaduna South,country:ng/state:kd,country:ng/state:kd/senate-district:kaduna-south,Kaduna South,Q59678395
Kano South,country:ng/state:kn,country:ng/state:kn/senate-district:kano-south,Kano South,Q59678401
Kano North,country:ng/state:kn,country:ng/state:kn/senate-district:kano-north,Kano North,Q59678399
Kano Central,country:ng/state:kn,country:ng/state:kn/senate-district:kano-central,Kano Central,Q59678398
Katsina North,country:ng/state:kt,country:ng/state:kt/senate-district:katsina-north,Katsina North,Q59678402
Katsina Central,country:ng/state:kt,country:ng/state:kt/senate-district:katsina-central,Katsina Central,Q59678404
Katsina South,country:ng/state:kt,country:ng/state:kt/senate-district:katsina-south,Katsina South,Q59678403
Kebbi Central,country:ng/state:ke,country:ng/state:ke/senate-district:kebbi-central,Kebbi Central,Q59678406
Kebbi North,country:ng/state:ke,country:ng/state:ke/senate-district:kebbi-north,Kebbi North,Q59678405
Kebbi South,country:ng/state:ke,country:ng/state:ke/senate-district:kebbi-south,Kebbi South,Q59678408
Kogi Central,country:ng/state:ko,country:ng/state:ko/senate-district:kogi-central,Kogi Central,Q59678410
Kogi East,country:ng/state:ko,country:ng/state:ko/senate-district:kogi-east,Kogi East,Q59678411
Kogi West,country:ng/state:ko,country:ng/state:ko/senate-district:kogi-west,Kogi West,Q59678412
Kwara Central,country:ng/state:kw,country:ng/state:kw/senate-district:kwara-central,Kwara Central,Q59678415
Kwara North,country:ng/state:kw,country:ng/state:kw/senate-district:kwara-north,Kwara North,Q59678414
Kwara South,country:ng/state:kw,country:ng/state:kw/senate-district:kwara-south,Kwara South,Q59678416
Lagos West,country:ng/state:la,country:ng/state:la/senate-district:lagos-west,Lagos West,Q59678420
Lagos Central,country:ng/state:la,country:ng/state:la/senate-district:lagos-central,Lagos Central,Q59678418
Lagos East,country:ng/state:la,country:ng/state:la/senate-district:lagos-east,Lagos East,Q59678419
Nasarawa North,country:ng/state:na,country:ng/state:na/senate-district:nasarawa-north,Nasarawa North,Q59678424
Nasarawa South,country:ng/state:na,country:ng/state:na/senate-district:nasarawa-south,Nasarawa South,Q59678425
Nasarawa West,country:ng/state:na,country:ng/state:na/senate-district:nasarawa-west,Nasarawa West,Q59678422
Niger South,country:ng/state:ni,country:ng/state:ni/senate-district:niger-south,Niger South,Q59678426
Niger North,country:ng/state:ni,country:ng/state:ni/senate-district:niger-north,Niger North,Q59678429
Niger East,country:ng/state:ni,country:ng/state:ni/senate-district:niger-east,Niger East,Q59678427
Ogun Central,country:ng/state:og,country:ng/state:og/senate-district:ogun-central,Ogun Central,Q59678430
Ogun West,country:ng/state:og,country:ng/state:og/senate-district:ogun-west,Ogun West,Q59678432
Ogun East,country:ng/state:og,country:ng/state:og/senate-district:ogun-east,Ogun East,Q59678431
Ondo North,country:ng/state:on,country:ng/state:on/senate-district:ondo-north,Ondo North,Q59678435
Ondo Central,country:ng/state:on,country:ng/state:on/senate-district:ondo-central,Ondo Central,Q59678436
Ondo South,country:ng/state:on,country:ng/state:on/senate-district:ondo-south,Ondo South,Q59678437
Osun East,country:ng/state:os,country:ng/state:os/senate-district:osun-east,Osun East,Q59678440
Osun West,country:ng/state:os,country:ng/state:os/senate-district:osun-west,Osun West,Q59678442
Osun Central,country:ng/state:os,country:ng/state:os/senate-district:osun-central,Osun Central,Q59678439
Oyo Central,country:ng/state:oy,country:ng/state:oy/senate-district:oyo-central,Oyo Central,Q59678443
Oyo North,country:ng/state:oy,country:ng/state:oy/senate-district:oyo-north,Oyo North,Q59678444
Oyo South,country:ng/state:oy,country:ng/state:oy/senate-district:oyo-south,Oyo South,Q59678445
Plateau North,country:ng/state:pl,country:ng/state:pl/senate-district:plateau-north,Plateau North,Q59678449
Plateau Central,country:ng/state:pl,country:ng/state:pl/senate-district:plateau-central,Plateau Central,Q59678448
Plateau South,country:ng/state:pl,country:ng/state:pl/senate-district:plateau-south,Plateau South,Q59678447
Rivers West,country:ng/state:ri,country:ng/state:ri/senate-district:rivers-west,Rivers West,Q25044125
Taraba North,country:ng/state:ta,country:ng/state:ta/senate-district:taraba-north,Taraba North,Q59678458
Taraba Central,country:ng/state:ta,country:ng/state:ta/senate-district:taraba-central,Taraba Central,Q59678457
Taraba South,country:ng/state:ta,country:ng/state:ta/senate-district:taraba-south,Taraba South,Q59678456
Yobe North,country:ng/state:yo,country:ng/state:yo/senate-district:yobe-north,Yobe North,Q59678463
Yobe East,country:ng/state:yo,country:ng/state:yo/senate-district:yobe-east,Yobe East,Q59678461
Yobe South,country:ng/state:yo,country:ng/state:yo/senate-district:yobe-south,Yobe South,Q59678465
Zamfara West,country:ng/state:za,country:ng/state:za/senate-district:zamfara-west,Zamfara West,Q59678468
Zamfara North,country:ng/state:za,country:ng/state:za/senate-district:zamfara-north,Zamfara North,Q59678466
Zamfara Central,country:ng/state:za,country:ng/state:za/senate-district:zamfara-central,Zamfara Central,Q59678467
